horizon,spec,target_type,model,n,start,end,oos_r2,rmse,mae,mean_realized,mean_forecast,robustness
66,no_floor,rv,q_raw,3076,2013-07-05,2025-09-25,-0.20410088777697766,0.013664807195106885,0.0077285954101366135,0.007811071988635508,0.011181384132445234,no_floor
66,no_floor,rv,q_mz,3076,2013-07-05,2025-09-25,0.0633938450486724,0.012051762754848736,0.0050975388187005834,0.007811071988635508,0.006894032899997718,no_floor
66,no_floor,rv,har3,3076,2013-07-05,2025-09-25,0.039592498849013835,0.012203933760704958,0.0054474262236528966,0.007811071988635508,0.007196762660677017,no_floor
66,no_floor,rv,har4,3076,2013-07-05,2025-09-25,0.0036868819205113645,0.012429967534697337,0.005621436142526526,0.007811071988635508,0.006831418768433303,no_floor
66,no_floor,rv,harq,3076,2013-07-05,2025-09-25,-0.009471788171268702,0.01251178183637935,0.005520977090608188,0.007811071988635508,0.0064138592372940464,no_floor
66,no_floor,rv,harqts,3076,2013-07-05,2025-09-25,0.01762171338636709,0.012342736213241015,0.0055686428556380885,0.007811071988635508,0.006355574550795489,no_floor
5,daily_bipower,bipower,mean,3197,2013-04-10,2025-12-22,0.0,0.002109336361701053,0.0005552739605887819,0.0005763076304318328,0.0005034640199366704,daily_bipower
5,daily_bipower,bipower,q_raw,3197,2013-04-10,2025-12-22,0.2949096698995979,0.0017712025084375387,0.000488794462633831,0.0005763076304318328,0.0007203084085713721,daily_bipower
5,daily_bipower,bipower,q_mz,3197,2013-04-10,2025-12-22,0.21008906152466866,0.001874713484545257,0.0004515093599614859,0.0005763076304318328,0.0005746141130747738,daily_bipower
5,daily_bipower,bipower,har3,3197,2013-04-10,2025-12-22,-0.08637823716337012,0.0021985501057803307,0.00047382550516735634,0.0005763076304318328,0.0005942366031424084,daily_bipower
5,daily_bipower,bipower,har4,3197,2013-04-10,2025-12-22,-0.10628781039670177,0.0022186045680922697,0.00047532111318694805,0.0005763076304318328,0.0005944615128126022,daily_bipower
5,daily_bipower,bipower,harq,3197,2013-04-10,2025-12-22,0.05861371809743543,0.0020465849304386876,0.00044569820543649785,0.0005763076304318328,0.0005367486450901097,daily_bipower
5,daily_bipower,bipower,harqts,3197,2013-04-10,2025-12-22,0.188524263633581,0.0019001312854514492,0.00042935378942379006,0.0005763076304318328,0.0005283508997115662,daily_bipower
22,daily_bipower,bipower,mean,3163,2013-05-03,2025-11-26,0.0,0.006713906135365334,0.0021345506643293977,0.002547361550821254,0.002208616946646627,daily_bipower
22,daily_bipower,bipower,q_raw,3163,2013-05-03,2025-11-26,0.16106814591218632,0.006149483033731053,0.002193291862339797,0.002547361550821254,0.003181670966200911,daily_bipower
22,daily_bipower,bipower,q_mz,3163,2013-05-03,2025-11-26,0.13516348837659464,0.006243703532328583,0.0017081365762554221,0.002547361550821254,0.002256485380751079,daily_bipower
22,daily_bipower,bipower,har3,3163,2013-05-03,2025-11-26,0.1047435216850805,0.006352563302397376,0.0018963099863552146,0.002547361550821254,0.0023184115090657117,daily_bipower
