horizon,offset,n,r2_mean,r2_q_raw,r2_q_mz,r2_har3,r2_har4,r2_harq,r2_harqts,delta_qmz_qraw,delta_harqts_har4
66,22,47,0.0,0.022499726130398745,0.06283724480907671,0.07397656649230289,0.06464581573255856,0.09031468667961795,0.10222184948379476,0.040337518678677964,0.03757603375123619
66,23,47,0.0,0.12527742173881606,0.12130205292217988,0.1874710006556065,0.17948806492615654,0.18833327417832813,0.24221463821708078,-0.003975368816636182,0.06272657329092424
66,24,47,0.0,0.17837553453741306,0.12456392530362081,0.12997267631292908,0.1204244495592125,0.16698912611743055,0.26772811456370493,-0.053811609233792246,0.14730366500449243
66,25,47,0.0,0.13396520430543213,0.10287920566432485,0.20716142657518655,0.19913276273881175,0.17780293247899426,0.1872700884727342,-0.031085998641107282,-0.011862674266077566
66,26,47,0.0,0.23439766569289522,0.13539818555414096,0.20293674854535926,0.1929022169936584,0.20472545233601813,0.24664767234905283,-0.09899948013875426,0.053745455355394434
66,27,47,0.0,0.14464075034270818,0.10384339020594535,0.2670002791770173,0.2582912998003859,0.2075695102174432,0.19010311967767501,-0.04079736013676283,-0.06818818012271088
66,28,47,0.0,0.3041992770000266,0.16845247214672188,0.2516411457559913,0.24245546058629186,0.24993764032499188,0.2922810531878156,-0.1357468048533047,0.04982559260152375
66,29,47,0.0,0.40119117989964936,0.206811158029927,0.2388257399521313,0.22884630763684422,0.2773691075207826,0.3257811859383162,-0.19438002186972236,0.09693487830147196
66,30,47,0.0,0.40913777715599153,0.29472364657286165,0.43159289868840645,0.5355036329084448,0.5010320798416522,0.5122531479724974,-0.11441413058312988,-0.02325048493594739
66,31,47,0.0,0.38793208442452654,0.25572038844395206,0.4713943393769192,0.4969886814423532,0.4597184300431836,0.46339673437825635,-0.13221169598057447,-0.03359194706409685
66,32,47,0.0,0.47618440533442896,0.3197360454024699,0.49966141167092337,0.5267507654416783,0.5188181621944404,0.5425125578372094,-0.15644835993195905,0.015761792395531105
66,33,47,0.0,0.3217158390959769,0.4891673562634188,0.6373065449910081,0.6657646449011302,0.6698044431113361,0.6576719855184509,0.1674515171674419,-0.008092659382679335
66,34,47,0.0,0.2920453465535927,0.3334750177970771,0.5153270066569218,0.5160477186682582,0.5486065017215767,0.5226506751497192,0.0414296712434844,0.006602956481461031
