fund,horizon,model,mapping,n,oos_r2,rmse,mae
UPRO,66,q_raw,rate,3076,-0.05026484180556845,0.04513000323692512,0.02424363843347914
UPRO,66,q_mz,intercept,3076,0.03449660930345344,0.04327059355452485,0.01860939568383719
UPRO,66,q_mz,rate,3076,0.121639419821986,0.04127170107842667,0.016640696087570968
UPRO,66,har4,intercept,3076,0.02743949941172097,0.043428443526110944,0.01908908562269114
UPRO,66,har4,rate,3076,0.1030507163922092,0.04170613019054533,0.017804251032570845
UPRO,66,harq,intercept,3076,0.04126848008077033,0.04311858037500818,0.01904348333396793
UPRO,66,harq,rate,3076,0.12422838487875265,0.04121083208775799,0.017135583644760522
UPRO,66,harqts,intercept,3076,0.04856355666917622,0.042954220492483174,0.019049663916679217
UPRO,66,harqts,rate,3076,0.12684667262008376,0.04114918211892269,0.017470802503955763
SDS,66,q_raw,intercept,3076,-0.191661628332211,0.04739534212166364,0.03174211617935539
SDS,66,q_raw,rate,3076,0.015606368816736826,0.04307681475005278,0.023660268541787915
SDS,66,q_mz,intercept,3076,0.08248681855014173,0.0415877420015921,0.02251562187323661
SDS,66,q_mz,rate,3076,0.2021998430134816,0.038779860604231574,0.015670553300168512
SDS,66,har4,intercept,3076,0.04620583950641388,0.042402016874480496,0.023997607959070473
SDS,66,har4,rate,3076,0.1822039781533149,0.03926283742431046,0.016922760246381945
SDS,66,harq,intercept,3076,0.07787218228499537,0.04169219368975271,0.023175736127421905
SDS,66,harq,rate,3076,0.20317997543172295,0.03875603190512115,0.016248977622429127
SDS,66,harqts,intercept,3076,0.07340062903809175,0.041793157677908706,0.023747590558786023
SDS,66,harqts,rate,3076,0.2052426346353038,0.038705837203517654,0.01656704615750354
SPXU,66,q_raw,intercept,3076,-0.1833787305728194,0.09017752637160499,0.057726323003942245
SPXU,66,q_raw,rate,3076,-0.06787926529770205,0.08566383550314192,0.047239554860130185
SPXU,66,q_mz,intercept,3076,0.08195958429104344,0.07942684997555197,0.039946660413425907
SPXU,66,q_mz,rate,3076,0.13311347232365467,0.07718227318643482,0.03139263363796307
SPXU,66,har4,intercept,3076,0.04993315061176917,0.08080040187374624,0.04269707418556856
SPXU,66,har4,rate,3076,0.1131449361518122,0.07806615033832838,0.03382120384051205
SPXU,66,harq,intercept,3076,0.08069912308932403,0.07948135744633629,0.04111911293466153
SPXU,66,harq,rate,3076,0.13596134005578564,0.07705539053258462,0.032436730191383406
SPXU,66,harqts,intercept,3076,0.07823259429124196,0.07958791218800469,0.04211783450391407
SPXU,66,harqts,rate,3076,0.1383679803505541,0.07694800302317766,0.03309033146144992
