check,pass,detail
LaTeX row terminator table_s5_alternative_loss_v21.tex:12,True,5 & HAR + option + term vs HAR(4) & MAE & 4.44724e-05 & 3.73 & 0.000 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:13,True,5 & HAR + option + term vs HAR(4) & QLIKE & -2.28661 & -2.94 & 0.003 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:15,True,22 & MZ option vs raw option & MSE & -1.52861e-07 & -0.07 & 0.942 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:16,True,22 & MZ option vs raw option & MAE & 0.000421973 & 7.28 & 0.000 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:17,True,22 & MZ option vs raw option & QLIKE & -0.00708652 & -0.16 & 0.872 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:18,True,22 & MZ option vs HAR(4) & MSE & 1.2583e-06 & 1.41 & 0.158 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:19,True,22 & MZ option vs HAR(4) & MAE & 0.000165631 & 2.79 & 0.005 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:20,True,22 & MZ option vs HAR(4) & QLIKE & 0.0415221 & 2.77 & 0.006 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:21,True,22 & HAR + option + term vs HAR(4) & MSE & 1.70265e-06 & 1.51 & 0.131 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:22,True,22 & HAR + option + term vs HAR(4) & MAE & 9.06296e-05 & 1.65 & 0.098 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:23,True,22 & HAR + option + term vs HAR(4) & QLIKE & -1.61793 & -1.66 & 0.097 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:25,True,66 & MZ option vs raw option & MSE & 4.1482e-05 & 2.33 & 0.020 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:26,True,66 & MZ option vs raw option & MAE & 0.00263106 & 4.59 & 0.000 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:27,True,66 & MZ option vs raw option & QLIKE & -0.00848692 & -0.09 & 0.925 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:28,True,66 & MZ option vs HAR(4) & MSE & 6.01093e-06 & 1.34 & 0.181 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:29,True,66 & MZ option vs HAR(4) & MAE & 0.000428272 & 1.77 & 0.076 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:30,True,66 & MZ option vs HAR(4) & QLIKE & 1.304 & 1.11 & 0.268 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:31,True,66 & HAR + option + term vs HAR(4) & MSE & 5.40684e-06 & 1.11 & 0.267 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:32,True,66 & HAR + option + term vs HAR(4) & MAE & 0.000125917 & 1.01 & 0.312 \\
LaTeX row terminator table_s5_alternative_loss_v21.tex:33,True,66 & HAR + option + term vs HAR(4) & QLIKE & -0.324005 & -0.98 & 0.328 \\
table fragment nonempty table_s6_inference_sensitivity_v21.tex,True,3386
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:3,True,$h$ & Comparison & Method & Parameter & Statistic & $p$ \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:5,True,5 & MZ option vs raw option & HAC & 4 & -2.12 & 0.034 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:6,True,5 & MZ option vs raw option & HAC & 10 & -1.57 & 0.118 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:7,True,5 & MZ option vs raw option & circular_block_bootstrap & 4 &  & 0.024 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:8,True,5 & MZ option vs raw option & circular_block_bootstrap & 10 &  & 0.087 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:9,True,5 & MZ option vs HAR(4) & HAC & 4 & 0.89 & 0.372 \\
LaTeX row terminator table_s6_inference_sensitivity_v21.tex:10,True,5 & MZ option vs HAR(4) & HAC & 10 & 0.96 & 0.335 \\
