check,pass,detail
clean shape recursive_coefficients.csv,True,"(19074, 12) vs (19074, 12)"
clean text recursive_coefficients.csv:Date,True,
clean numeric recursive_coefficients.csv:horizon,True,
clean text recursive_coefficients.csv:spec,True,
clean text recursive_coefficients.csv:model,True,
clean numeric recursive_coefficients.csv:n_train,True,
clean numeric recursive_coefficients.csv:coef_0,True,
clean numeric recursive_coefficients.csv:coef_1,True,
clean numeric recursive_coefficients.csv:coef_2,True,
clean numeric recursive_coefficients.csv:coef_3,True,
clean numeric recursive_coefficients.csv:coef_4,True,
clean numeric recursive_coefficients.csv:coef_5,True,
clean numeric recursive_coefficients.csv:coef_6,True,
clean run produced regime_results_66d.csv,True,
clean shape regime_results_66d.csv,True,"(11, 18) vs (11, 18)"
clean numeric regime_results_66d.csv:horizon,True,
clean text regime_results_66d.csv:subset,True,
clean numeric regime_results_66d.csv:n,True,
clean text regime_results_66d.csv:start,True,
clean text regime_results_66d.csv:end,True,
clean numeric regime_results_66d.csv:r2_mean,True,
clean numeric regime_results_66d.csv:r2_q_raw,True,
clean numeric regime_results_66d.csv:r2_q_mz,True,
clean numeric regime_results_66d.csv:r2_har3,True,
clean numeric regime_results_66d.csv:r2_har4,True,
clean numeric regime_results_66d.csv:r2_harq,True,
clean numeric regime_results_66d.csv:r2_harqts,True,
clean numeric regime_results_66d.csv:q_mz_vs_q_raw_t,True,
clean numeric regime_results_66d.csv:q_mz_vs_q_raw_p,True,
clean numeric regime_results_66d.csv:q_mz_vs_har4_t,True,
clean numeric regime_results_66d.csv:q_mz_vs_har4_p,True,
clean numeric regime_results_66d.csv:harqts_vs_har4_t,True,
clean numeric regime_results_66d.csv:harqts_vs_har4_p,True,
clean run produced robustness_model_results.csv,True,
clean shape robustness_model_results.csv,True,"(91, 13) vs (91, 13)"
clean numeric robustness_model_results.csv:horizon,True,
clean text robustness_model_results.csv:spec,True,
clean text robustness_model_results.csv:target_type,True,
clean text robustness_model_results.csv:model,True,
clean numeric robustness_model_results.csv:n,True,
clean text robustness_model_results.csv:start,True,
clean text robustness_model_results.csv:end,True,
clean numeric robustness_model_results.csv:oos_r2,True,
clean numeric robustness_model_results.csv:rmse,True,
clean numeric robustness_model_results.csv:mae,True,
clean numeric robustness_model_results.csv:mean_realized,True,
clean numeric robustness_model_results.csv:mean_forecast,True,
clean text robustness_model_results.csv:robustness,True,
clean run produced rolling_loss_66d.csv,True,
clean shape rolling_loss_66d.csv,True,"(3076, 4) vs (3076, 4)"
clean text rolling_loss_66d.csv:Date,True,
clean numeric rolling_loss_66d.csv:qmz_vs_qraw,True,
clean numeric rolling_loss_66d.csv:qmz_vs_har4,True,
clean numeric rolling_loss_66d.csv:harqts_vs_har4,True,
clean run produced variance_forecast_tests.csv,True,
clean shape variance_forecast_tests.csv,True,"(18, 12) vs (18, 12)"
clean numeric variance_forecast_tests.csv:horizon,True,
clean text variance_forecast_tests.csv:spec,True,
clean text variance_forecast_tests.csv:model_a,True,
clean text variance_forecast_tests.csv:model_b,True,
clean numeric variance_forecast_tests.csv:n,True,
clean numeric variance_forecast_tests.csv:mean_loss_gain_a_over_b,True,
clean numeric variance_forecast_tests.csv:hac_t,True,
clean numeric variance_forecast_tests.csv:hac_p,True,
clean numeric variance_forecast_tests.csv:block_p,True,
clean numeric variance_forecast_tests.csv:cw_mean,True,
clean numeric variance_forecast_tests.csv:cw_t,True,
clean numeric variance_forecast_tests.csv:cw_p_one_sided,True,
clean run produced variance_forecasts_22d.csv,True,
clean shape variance_forecasts_22d.csv,True,"(3164, 20) vs (3164, 20)"
clean text variance_forecasts_22d.csv:Date,True,
clean numeric variance_forecasts_22d.csv:position,True,
clean text variance_forecasts_22d.csv:target_end,True,
clean text variance_forecasts_22d.csv:training_end,True,
clean numeric variance_forecasts_22d.csv:horizon,True,
clean text variance_forecasts_22d.csv:spec,True,
clean text variance_forecasts_22d.csv:target_type,True,
clean text variance_forecasts_22d.csv:option_signal,True,
clean numeric variance_forecasts_22d.csv:n_train,True,
clean numeric variance_forecasts_22d.csv:realized_variance,True,
clean numeric variance_forecasts_22d.csv:vix,True,
clean numeric variance_forecasts_22d.csv:vix3m,True,
clean numeric variance_forecasts_22d.csv:term_variance,True,
clean numeric variance_forecasts_22d.csv:forecast_mean,True,
clean numeric variance_forecasts_22d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_22d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_22d.csv:forecast_har3,True,
clean numeric variance_forecasts_22d.csv:forecast_har4,True,
clean numeric variance_forecasts_22d.csv:forecast_harq,True,
clean numeric variance_forecasts_22d.csv:forecast_harqts,True,
clean run produced variance_forecasts_5d.csv,True,
clean shape variance_forecasts_5d.csv,True,"(3198, 20) vs (3198, 20)"
clean text variance_forecasts_5d.csv:Date,True,
clean numeric variance_forecasts_5d.csv:position,True,
clean text variance_forecasts_5d.csv:target_end,True,
clean text variance_forecasts_5d.csv:training_end,True,
clean numeric variance_forecasts_5d.csv:horizon,True,
clean text variance_forecasts_5d.csv:spec,True,
clean text variance_forecasts_5d.csv:target_type,True,
clean text variance_forecasts_5d.csv:option_signal,True,
clean numeric variance_forecasts_5d.csv:n_train,True,
clean numeric variance_forecasts_5d.csv:realized_variance,True,
clean numeric variance_forecasts_5d.csv:vix,True,
clean numeric variance_forecasts_5d.csv:vix3m,True,
clean numeric variance_forecasts_5d.csv:term_variance,True,
clean numeric variance_forecasts_5d.csv:forecast_mean,True,
clean numeric variance_forecasts_5d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_5d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_5d.csv:forecast_har3,True,
clean numeric variance_forecasts_5d.csv:forecast_har4,True,
clean numeric variance_forecasts_5d.csv:forecast_harq,True,
clean numeric variance_forecasts_5d.csv:forecast_harqts,True,
clean run produced variance_forecasts_66d.csv,True,
clean shape variance_forecasts_66d.csv,True,"(3076, 20) vs (3076, 20)"
clean text variance_forecasts_66d.csv:Date,True,
clean numeric variance_forecasts_66d.csv:position,True,
clean text variance_forecasts_66d.csv:target_end,True,
clean text variance_forecasts_66d.csv:training_end,True,
clean numeric variance_forecasts_66d.csv:horizon,True,
clean text variance_forecasts_66d.csv:spec,True,
clean text variance_forecasts_66d.csv:target_type,True,
clean text variance_forecasts_66d.csv:option_signal,True,
clean numeric variance_forecasts_66d.csv:n_train,True,
clean numeric variance_forecasts_66d.csv:realized_variance,True,
clean numeric variance_forecasts_66d.csv:vix,True,
clean numeric variance_forecasts_66d.csv:vix3m,True,
clean numeric variance_forecasts_66d.csv:term_variance,True,
clean numeric variance_forecasts_66d.csv:forecast_mean,True,
clean numeric variance_forecasts_66d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_66d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_66d.csv:forecast_har3,True,
clean numeric variance_forecasts_66d.csv:forecast_har4,True,
clean numeric variance_forecasts_66d.csv:forecast_harq,True,
clean numeric variance_forecasts_66d.csv:forecast_harqts,True,
clean run produced variance_forecasts_daily_bipower_22d.csv,True,
clean shape variance_forecasts_daily_bipower_22d.csv,True,"(3163, 20) vs (3163, 20)"
clean text variance_forecasts_daily_bipower_22d.csv:Date,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:position,True,
clean text variance_forecasts_daily_bipower_22d.csv:target_end,True,
clean text variance_forecasts_daily_bipower_22d.csv:training_end,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:horizon,True,
clean text variance_forecasts_daily_bipower_22d.csv:spec,True,
clean text variance_forecasts_daily_bipower_22d.csv:target_type,True,
clean text variance_forecasts_daily_bipower_22d.csv:option_signal,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:n_train,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:realized_variance,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:vix,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:vix3m,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:term_variance,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:forecast_mean,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:forecast_har3,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:forecast_har4,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:forecast_harq,True,
clean numeric variance_forecasts_daily_bipower_22d.csv:forecast_harqts,True,
clean run produced variance_forecasts_daily_bipower_5d.csv,True,
clean shape variance_forecasts_daily_bipower_5d.csv,True,"(3197, 20) vs (3197, 20)"
clean text variance_forecasts_daily_bipower_5d.csv:Date,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:position,True,
clean text variance_forecasts_daily_bipower_5d.csv:target_end,True,
clean text variance_forecasts_daily_bipower_5d.csv:training_end,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:horizon,True,
clean text variance_forecasts_daily_bipower_5d.csv:spec,True,
clean text variance_forecasts_daily_bipower_5d.csv:target_type,True,
clean text variance_forecasts_daily_bipower_5d.csv:option_signal,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:n_train,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:realized_variance,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:vix,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:vix3m,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:term_variance,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:forecast_mean,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:forecast_har3,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:forecast_har4,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:forecast_harq,True,
clean numeric variance_forecasts_daily_bipower_5d.csv:forecast_harqts,True,
clean run produced variance_forecasts_daily_bipower_66d.csv,True,
clean shape variance_forecasts_daily_bipower_66d.csv,True,"(3075, 20) vs (3075, 20)"
clean text variance_forecasts_daily_bipower_66d.csv:Date,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:position,True,
clean text variance_forecasts_daily_bipower_66d.csv:target_end,True,
clean text variance_forecasts_daily_bipower_66d.csv:training_end,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:horizon,True,
clean text variance_forecasts_daily_bipower_66d.csv:spec,True,
clean text variance_forecasts_daily_bipower_66d.csv:target_type,True,
clean text variance_forecasts_daily_bipower_66d.csv:option_signal,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:n_train,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:realized_variance,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:vix,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:vix3m,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:term_variance,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:forecast_mean,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:forecast_har3,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:forecast_har4,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:forecast_harq,True,
clean numeric variance_forecasts_daily_bipower_66d.csv:forecast_harqts,True,
clean run produced variance_forecasts_lagged_one_day_66d.csv,True,
clean shape variance_forecasts_lagged_one_day_66d.csv,True,"(3076, 20) vs (3076, 20)"
clean text variance_forecasts_lagged_one_day_66d.csv:Date,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:position,True,
clean text variance_forecasts_lagged_one_day_66d.csv:target_end,True,
clean text variance_forecasts_lagged_one_day_66d.csv:training_end,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:horizon,True,
clean text variance_forecasts_lagged_one_day_66d.csv:spec,True,
clean text variance_forecasts_lagged_one_day_66d.csv:target_type,True,
clean text variance_forecasts_lagged_one_day_66d.csv:option_signal,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:n_train,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:realized_variance,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:vix,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:vix3m,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:term_variance,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:forecast_mean,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:forecast_har3,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:forecast_har4,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:forecast_harq,True,
clean numeric variance_forecasts_lagged_one_day_66d.csv:forecast_harqts,True,
clean run produced variance_forecasts_no_floor_66d.csv,True,
clean shape variance_forecasts_no_floor_66d.csv,True,"(3076, 20) vs (3076, 20)"
clean text variance_forecasts_no_floor_66d.csv:Date,True,
clean numeric variance_forecasts_no_floor_66d.csv:position,True,
clean text variance_forecasts_no_floor_66d.csv:target_end,True,
clean text variance_forecasts_no_floor_66d.csv:training_end,True,
clean numeric variance_forecasts_no_floor_66d.csv:horizon,True,
clean text variance_forecasts_no_floor_66d.csv:spec,True,
clean text variance_forecasts_no_floor_66d.csv:target_type,True,
clean text variance_forecasts_no_floor_66d.csv:option_signal,True,
clean numeric variance_forecasts_no_floor_66d.csv:n_train,True,
clean numeric variance_forecasts_no_floor_66d.csv:realized_variance,True,
clean numeric variance_forecasts_no_floor_66d.csv:vix,True,
clean numeric variance_forecasts_no_floor_66d.csv:vix3m,True,
clean numeric variance_forecasts_no_floor_66d.csv:term_variance,True,
clean numeric variance_forecasts_no_floor_66d.csv:forecast_mean,True,
clean numeric variance_forecasts_no_floor_66d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_no_floor_66d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_no_floor_66d.csv:forecast_har3,True,
clean numeric variance_forecasts_no_floor_66d.csv:forecast_har4,True,
clean numeric variance_forecasts_no_floor_66d.csv:forecast_harq,True,
clean numeric variance_forecasts_no_floor_66d.csv:forecast_harqts,True,
clean run produced variance_forecasts_rolling_five_year_66d.csv,True,
clean shape variance_forecasts_rolling_five_year_66d.csv,True,"(3076, 20) vs (3076, 20)"
clean text variance_forecasts_rolling_five_year_66d.csv:Date,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:position,True,
clean text variance_forecasts_rolling_five_year_66d.csv:target_end,True,
clean text variance_forecasts_rolling_five_year_66d.csv:training_end,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:horizon,True,
clean text variance_forecasts_rolling_five_year_66d.csv:spec,True,
clean text variance_forecasts_rolling_five_year_66d.csv:target_type,True,
clean text variance_forecasts_rolling_five_year_66d.csv:option_signal,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:n_train,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:realized_variance,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:vix,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:vix3m,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:term_variance,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:forecast_mean,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:forecast_har3,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:forecast_har4,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:forecast_harq,True,
clean numeric variance_forecasts_rolling_five_year_66d.csv:forecast_harqts,True,
clean run produced variance_forecasts_wrong_maturity_vix_66_66d.csv,True,
clean shape variance_forecasts_wrong_maturity_vix_66_66d.csv,True,"(3076, 20) vs (3076, 20)"
clean text variance_forecasts_wrong_maturity_vix_66_66d.csv:Date,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:position,True,
clean text variance_forecasts_wrong_maturity_vix_66_66d.csv:target_end,True,
clean text variance_forecasts_wrong_maturity_vix_66_66d.csv:training_end,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:horizon,True,
clean text variance_forecasts_wrong_maturity_vix_66_66d.csv:spec,True,
clean text variance_forecasts_wrong_maturity_vix_66_66d.csv:target_type,True,
clean text variance_forecasts_wrong_maturity_vix_66_66d.csv:option_signal,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:n_train,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:realized_variance,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:vix,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:vix3m,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:term_variance,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:forecast_mean,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:forecast_q_raw,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:forecast_q_mz,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:forecast_har3,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:forecast_har4,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:forecast_harq,True,
clean numeric variance_forecasts_wrong_maturity_vix_66_66d.csv:forecast_harqts,True,
clean run produced variance_model_results.csv,True,
clean shape variance_model_results.csv,True,"(21, 12) vs (21, 12)"
clean numeric variance_model_results.csv:horizon,True,
clean text variance_model_results.csv:spec,True,
clean text variance_model_results.csv:target_type,True,
clean text variance_model_results.csv:model,True,
clean numeric variance_model_results.csv:n,True,
clean text variance_model_results.csv:start,True,
clean text variance_model_results.csv:end,True,
clean numeric variance_model_results.csv:oos_r2,True,
clean numeric variance_model_results.csv:rmse,True,
clean numeric variance_model_results.csv:mae,True,
clean numeric variance_model_results.csv:mean_realized,True,
clean numeric variance_model_results.csv:mean_forecast,True,
clean figure Figure_1_Variance_OOS_R2.png,True,
clean figure Figure_2_Incremental_Option_R2.png,True,
clean figure Figure_3_Rolling_Incremental_Loss.png,True,
clean figure Figure_4_Fund_Heterogeneity.png,True,
